id,nombre,lng,lat,altitud,corriente,zona,subzona,cenpoblado,municipio,depart,ctg,cotacero,areaaferete,maxnivel,maxcaudal,umbralsen,umbralobs,umbralpron,uroja,unaranja,uamarilla,ubajos,umaxhis,subred,en_H,en_Hsim,en_Q,en_Qsim,en_Calidad,NIVEL,CAUDAL
0026157060,RIO CLARO [26157060],-75.55,4.997811111,1530.0,CLARO,Cauca,Río Chinchiná,VILLAMARIA,VILLAMARIA,CALDAS,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,RED NACIONAL DE CALIDAD DEL AGUA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
0026157170,CONEJERAS2 AUTOM   [26157170],-75.374528,4.816306,4699.0,CLARO,Cauca,Río Chinchiná,NUEVO RIO CLARO,VILLAMARIA,CALDAS,Limnigráfica,0.0,,0.14,,,,,,,,0.03,0.42,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
0026157190,RIO CLARO AUTOM  [26157190],-75.451086,4.901022,2712.0,CLARO,Cauca,Río Chinchiná,NUEVO RIO CLARO,VILLAMARIA,CALDAS,Limnigráfica,0.0,,0.39,2.36,,,,,,,0.21,1.5,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0026157200,SIETECUERALES AUTOMATICA[26157200],-75.374722,4.860139,3794.0,CLARO,Cauca,Río Chinchiná,NUEVO RIO CLARO,VILLAMARIA,CALDAS,Limnigráfica,0.0,,0.48,0.23,,,,,,,0.4,0.94,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0026157210,SAN ANTONIO [26157210],-75.42897222,4.88661111,3064.0,QDA SAN ANTONIO,Cauca,Río Chinchiná,NUEVO RIO CLARO,VILLAMARIA,CALDAS,Limnigráfica,0.0,,,,,,,0.0,0.25,0.5,,,RED NACIONAL DE CALIDAD DEL AGUA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
0026167070,IRRA    [26167070],-75.66586,5.26811,745.0,CAUCA,Cauca,Rio Tapias y otros directos al Cauca,TAPIAS,NEIRA,CALDAS,Limnigráfica,0.0,24570.1603286,3.67,881.4,,,,0.0,0.25,0.5,0.53,7.69,RED NACIONAL DE CALIDAD DEL AGUA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0026177030,LA VIRGINIA AUTOM  [26177030],-75.882694,4.8925,900.442,CAUCA,Cauca,Río Otún y otros directos al Cauca,LA VIRGINIA,LA VIRGINIA,RISARALDA,Limnigráfica,891.61,25453.5453037,2.43,536.13,,,,5.69,5.19,4.69,0.1,7.3,RED NACIONAL DE CALIDAD DEL AGUA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0026187040,QUITASUENO [26187040],-75.540278,5.713722,580.0,ARMA,Cauca,Río Arma,AGUADAS,AGUADAS,CALDAS,Limnigráfica,0.0,1030.35738127,1.34,17.57,,,,0.0,0.25,0.5,0.32,5.0,RED NACIONAL DE CALIDAD DEL AGUA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0026187110,LA PINTADA AUTOM  [26187110],-75.61,5.73,584.846,CAUCA,Cauca,Rio Tapias y otros directos al Cauca,,LA PINTADA,ANTIOQUIA,Limnimétrica,578.297,26454.2051265,3.17,708.1,,,,5.0,4.5,4.0,1.33,6.67,RED NACIONAL DE CALIDAD DEL AGUA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
002619700161,SALGAR - AUT   [2619700161],-75.90825,5.88097,642.0,San Juan,Cauca,Río San Juan,PUEBLORRICO,PUEBLORRICO,ANTIOQUIA,Limnigráfica,0.0,,1.35,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
