Station,Latitude,Longitude,COMID_v1,Bias Corrected,Corrected Variability,Corrected Correlation,Corrected KGE
Congo_aruwimi_km2526,1.649,27.053,7069877,0.999848819,0.975693971,0.760122952,0.75889462
Congo_bili_km2308,4.2041,22.6029,7065545,0.998623736,0.923004532,0.804778068,0.790138619
Congo_bili_km2396,4.2736,23.0531,7065367,0.998797271,0.878928156,0.892701648,0.838219982
Congo_bili_km2405,4.2336,23.0886,7065367,0.999126769,0.959347465,0.900863159,0.892848218
Congo_bima_km2905,3.431,26.416,7066811,0.999765912,0.93805394,0.858213645,0.845272046
Congo_bima_km2959,3.29,26.712,7067057,0.999933933,1.035860916,0.834583331,0.830740778
Congo_bima_km2965,3.299,26.745,7067057,1.000129111,1.011304248,0.862948942,0.862483474
Congo_bima_km3089,3.313,27.426,7067165,0.999912324,0.98940954,0.858667271,0.858271013
Congo_bima_km3101,3.313,27.467,7067013,0.999738008,1.06705554,0.670323627,0.66357315
Congo_bima_km3200,3.005,28.117,7067515,1.000050121,1.086686531,0.710854638,0.698139771
Congo_bima_km3217,3.013,28.211,7067521,0.999825206,1.05846271,0.420864729,0.417921328
Congo_bima_km3339,2.831,28.797,7067862,0.999998712,0.982345464,0.715915614,0.715367569
Congo_bima_km3370,2.792,28.978,7067915,1.000072942,1.089328505,0.685535799,0.673094324
Congo_bolombo_km1730,1.4079,21.47,7070342,0.999135444,0.869341241,0.603789194,0.582800454
Congo_bolombo_km1737,1.3894,21.5227,7070342,0.999322196,0.941962487,0.690827468,0.685426532
Congo_bolombo_km1787,1.3084,21.8418,7070469,0.999043722,1.023992815,0.584382702,0.58368965
Congo_bomokandi_km2868,3.5396,26.2048,7066793,0.999385823,0.95917621,0.790822495,0.786875183
Congo_bomokandi_km2904,3.4375,26.4071,7066811,0.999558827,0.926683346,0.864697356,0.846109351
Congo_bomokandi_km2933,3.2762,26.5484,7067068,0.999512469,0.875099462,0.932127842,0.85784863
Congo_bomokandi_km2943,3.2791,26.6169,7067072,0.999500199,0.827051571,0.862686482,0.779168818
Congo_bomokandi_km3020,3.1531,27.0419,7067311,0.99963996,0.872849342,0.871723462,0.819383584
Congo_bomokandi_km3023,3.1351,27.0524,7067311,0.999634161,1.028641524,0.858434921,0.855566131
Congo_bomokandi_km3086,3.3019,27.4016,7067165,0.999605785,0.898922656,0.872259286,0.837105939
Congo_bomokandi_km3102,3.3181,27.4741,7067013,0.999448654,0.984140097,0.919911406,0.918354281
Congo_bomokandi_km3119,3.3313,27.5636,7067013,0.999294649,0.869593886,0.882217097,0.824275602
Congo_bomu_km3115,5.154,26.301,7063706,0.999510353,0.979758947,0.693130563,0.69246335
Congo_boumba_km1631,2.1266,15.1408,7069109,0.999295806,0.977757099,0.889223327,0.887010116
